workerID,gender,age,income,language,order,animalID,animal,QUD,condition,isMetaphor,rating
21,M,25,0,english,3,4,elephant,big,figurative,T,0.44
21,M,25,0,english,4,9,cheetah,null,figurative,T,0.68
21,M,25,0,english,5,10,turtle,strong,figurative,T,0.16
21,M,25,0,english,6,6,monkey,smart,figurative,T,0.48
21,M,25,0,english,7,2,whale,null,literal,F,null
21,M,25,0,english,8,12,rabbit,cute,figurative,T,0.57
21,M,25,0,english,9,7,penguin,funny,figurative,T,0.49
21,M,25,0,english,10,5,panda,big,literal,F,null
21,M,25,0,english,11,1,ant,small,figurative,T,0.81
21,M,25,0,english,12,8,giraffe,null,figurative,T,0.52
22,M,55,4,english,1,2,whale,majestic,figurative,T,0.15
22,M,55,4,english,2,10,turtle,slow,figurative,T,0.74
22,M,55,4,english,3,9,cheetah,fast,figurative,T,0.87
22,M,55,4,english,4,3,bird,fast,literal,F,null
22,M,55,4,english,5,12,rabbit,fast,figurative,T,0.75
22,M,55,4,english,6,6,monkey,funny,figurative,T,0.42
22,M,55,4,english,7,5,panda,null,literal,F,null
22,M,55,4,english,8,4,elephant,null,figurative,T,0.24
22,M,55,4,english,9,1,ant,industrious,figurative,T,0.57
22,M,55,4,english,10,7,penguin,cute,literal,F,null
22,M,55,4,english,11,8,giraffe,long,figurative,T,0.72
22,M,55,4,english,12,11,lion,strong,figurative,T,0.56
23,M,25,4,English,1,10,turtle,null,figurative,T,0
23,M,25,4,English,2,1,ant,null,figurative,T,0.23
23,M,25,4,English,3,8,giraffe,null,literal,F,null
23,M,25,4,English,4,2,whale,null,figurative,T,0.6
23,M,25,4,English,5,6,monkey,smart,figurative,T,0.01
23,M,25,4,English,6,7,penguin,funny,figurative,T,0.02
23,M,25,4,English,7,12,rabbit,null,figurative,T,0.03
23,M,25,4,English,8,9,cheetah,null,literal,F,null
23,M,25,4,English,9,3,bird,null,figurative,T,0
23,M,25,4,English,10,4,elephant,hard,literal,F,null
23,M,25,4,English,11,11,lion,fierce,figurative,T,0.64
23,M,25,4,English,12,5,panda,null,figurative,T,0
24,M,35,6,english,1,11,lion,fierce,literal,F,null
24,M,35,6,english,2,4,elephant,null,figurative,T,0.17
24,M,35,6,english,3,8,giraffe,long,literal,F,null
24,M,35,6,english,4,6,monkey,smart,figurative,T,0.14
24,M,35,6,english,5,12,rabbit,null,figurative,T,0.15
24,M,35,6,english,6,1,ant,industrious,figurative,T,0.22
24,M,35,6,english,7,10,turtle,null,literal,F,null
24,M,35,6,english,8,2,whale,big,figurative,T,0.92
24,M,35,6,english,9,9,cheetah,null,figurative,T,0.09
24,M,35,6,english,10,7,penguin,funny,figurative,T,0.08
24,M,35,6,english,11,3,bird,null,figurative,T,0.14
24,M,35,6,english,12,5,panda,null,figurative,T,0.12
25,M,25,0,English,1,8,giraffe,long,figurative,F,null
25,M,25,0,English,2,9,cheetah,fast,literal,F,null
25,M,25,0,English,3,4,elephant,big,literal,F,null
25,M,25,0,English,4,3,bird,small,literal,F,null
25,M,25,0,English,5,2,whale,majestic,figurative,F,null
25,M,25,0,English,6,1,ant,small,figurative,F,null
25,M,25,0,English,7,10,turtle,strong,figurative,F,null
25,M,25,0,English,8,6,monkey,smart,figurative,F,null
25,M,25,0,English,9,7,penguin,null,figurative,F,null
25,M,25,0,English,10,11,lion,fierce,figurative,F,null
25,M,25,0,English,11,12,rabbit,fast,figurative,F,null
25,M,25,0,English,12,5,panda,big,figurative,F,null
26,F,55,4,english,1,2,whale,big,literal,T,0.79
26,F,55,4,english,2,5,panda,cute,figurative,T,0.87
26,F,55,4,english,3,6,monkey,null,figurative,T,0.72
26,F,55,4,english,4,1,ant,small,figurative,T,0.88
26,F,55,4,english,5,12,rabbit,fast,figurative,T,0.9
26,F,55,4,english,6,4,elephant,hard,literal,T,0.81
26,F,55,4,english,7,8,giraffe,long,figurative,T,0.89
26,F,55,4,english,8,7,penguin,null,literal,F,0.02
26,F,55,4,english,9,9,cheetah,fast,figurative,T,0.97
26,F,55,4,english,10,10,turtle,strong,figurative,F,0.23
26,F,55,4,english,11,3,bird,null,figurative,F,0.2
26,F,55,4,english,12,11,lion,null,figurative,T,0.79
27,M,65,8,english,1,8,giraffe,null,figurative,T,0.2
27,M,65,8,english,2,10,turtle,slow,figurative,T,0.58
27,M,65,8,english,3,3,bird,small,figurative,T,0.17
27,M,65,8,english,4,5,panda,big,figurative,T,0.04
27,M,65,8,english,5,6,monkey,funny,figurative,T,0.04
27,M,65,8,english,6,4,elephant,big,figurative,T,0.06
27,M,65,8,english,7,11,lion,null,literal,T,0.47
27,M,65,8,english,8,7,penguin,funny,figurative,T,0.07
27,M,65,8,english,9,9,cheetah,fast,figurative,T,0.06
27,M,65,8,english,10,1,ant,null,figurative,T,0.49
27,M,65,8,english,11,2,whale,null,literal,T,0.11
27,M,65,8,english,12,12,rabbit,fast,literal,F,null
28,M,55,8,english,1,4,elephant,hard,literal,T,0.27
28,M,55,8,english,2,8,giraffe,tall,figurative,T,0.84
