animal,feature,featureType,question,bin,Freq
elephant,hard,core,hard,1,0.166666666666667
elephant,hard,core,hard,2,0.333333333333333
elephant,hard,core,hard,3,0.166666666666667
elephant,hard,core,hard,4,0.166666666666667
elephant,lazy,expanded,big,0,0.125
elephant,lazy,expanded,big,1,0.25
elephant,lazy,expanded,big,2,0.125
elephant,lazy,expanded,big,3,0.375
elephant,lazy,expanded,big,4,0.125
elephant,lazy,expanded,general,0,0.230769230769231
elephant,lazy,expanded,general,1,0.0769230769230769
elephant,lazy,expanded,general,2,0.230769230769231
elephant,lazy,expanded,general,3,0.307692307692308
elephant,lazy,expanded,general,4,0.153846153846154
elephant,lazy,expanded,hard,0,0.166666666666667
elephant,lazy,expanded,hard,1,0.333333333333333
elephant,lazy,expanded,hard,2,0.166666666666667
elephant,lazy,expanded,hard,3,0.166666666666667
elephant,lazy,expanded,hard,4,0.166666666666667
elephant,loyal,expanded,big,0,0.25
elephant,loyal,expanded,big,1,0.125
elephant,loyal,expanded,big,2,0.25
elephant,loyal,expanded,big,3,0.25
elephant,loyal,expanded,big,4,0.125
elephant,loyal,expanded,general,0,0.230769230769231
elephant,loyal,expanded,general,1,0.0769230769230769
elephant,loyal,expanded,general,2,0.384615384615385
elephant,loyal,expanded,general,3,0.230769230769231
elephant,loyal,expanded,general,4,0.0769230769230769
elephant,loyal,expanded,hard,0,0.166666666666667
elephant,loyal,expanded,hard,1,0.166666666666667
elephant,loyal,expanded,hard,2,0.166666666666667
elephant,loyal,expanded,hard,3,0.333333333333333
elephant,loyal,expanded,hard,4,0.166666666666667
elephant,majestic,expanded,big,0,0.375
elephant,majestic,expanded,big,1,0.25
elephant,majestic,expanded,big,2,0.125
elephant,majestic,expanded,big,3,0.125
elephant,majestic,expanded,big,4,0.125
elephant,majestic,expanded,general,0,0.230769230769231
elephant,majestic,expanded,general,1,0.0769230769230769
elephant,majestic,expanded,general,2,0.307692307692308
elephant,majestic,expanded,general,3,0.230769230769231
elephant,majestic,expanded,general,4,0.153846153846154
elephant,majestic,expanded,hard,0,0.166666666666667
elephant,majestic,expanded,hard,1,0.166666666666667
elephant,majestic,expanded,hard,2,0.333333333333333
elephant,majestic,expanded,hard,3,0.166666666666667
elephant,majestic,expanded,hard,4,0.166666666666667
elephant,playful,expanded,big,0,0.25
elephant,playful,expanded,big,1,0.125
elephant,playful,expanded,big,2,0.375
elephant,playful,expanded,big,3,0.125
elephant,playful,expanded,big,4,0.125
elephant,playful,expanded,general,0,0.230769230769231
elephant,playful,expanded,general,1,0.153846153846154
elephant,playful,expanded,general,2,0.384615384615385
elephant,playful,expanded,general,3,0.153846153846154
elephant,playful,expanded,general,4,0.0769230769230769
elephant,playful,expanded,hard,0,0.166666666666667
elephant,playful,expanded,hard,1,0.333333333333333
elephant,playful,expanded,hard,2,0.166666666666667
elephant,playful,expanded,hard,3,0.166666666666667
elephant,playful,expanded,hard,4,0.166666666666667
elephant,proud,expanded,big,0,0.25
